State,Rate
Alabama,1235
Alaska,1200
Arizona,1355
Arkansas,1503
California,1731
Colorado,1547
Connecticut,1831
Delaware,1646
Florida,2050
Georgia,1668
Hawaii,1229
Idaho,989
Illinois,1223
Indiana,1091
Iowa,1025
Kansas,1332
Kentucky,1525
Louisiana,2126
Maine,1176
Maryland,1439
Massachusetts,1176
Michigan,2239
Minnesota,1215
Mississippi,1410
Missouri,1256
Montana,1446
Nebraska,1214
Nevada,1485
New Hampshire,1039
New Jersey,1383
New Mexico,1352
New York,1361
North Carolina,1104
North Dakota,1086
Ohio,944
Oklahoma,1531
Oregon,1250
Pennsylvania,1130
Rhode Island,1852
South Carolina,1327
South Dakota,1213
Tennessee,1211
Texas,1589
Utah,1131
Vermont,932
Virginia,1013
Washington,1309
"Washington, D.C.",1827
West Virginia,1408
Wisconsin,1084
Wyoming,1544
